Rank,Club,Country,YOB,Gender
1,Salomon  ,FRA ,1985,M
2,Team Compressport  ,FRA ,1992,M
3,Salomon  ,FRA ,1987,M
4,Hoka ONE One  ,FRA ,1975,M
5,ON  ,FRA ,1990,M
6,Dynafit  ,GER ,1989,M
7,Salomon  ,USA ,1985,F
8,Compressport Internati...  ,FRA ,1990,M
8,Compressport Internati...  ,SUI ,1984,M
10,Team Asics Trail  ,SUI ,1995,M
11,the North Face Adventu...  ,HKG ,1987,M
12,Normandietrail  ,FRA ,1986,M
13,Team Salomon  ,ITA ,1986,M
14,Adidasterrex  ,RUS ,1984,M
15,Raidlight Team  ,ESP ,1988,M
16,Salomon France  ,FRA ,1992,F
17,Team New Balance  ,FRA ,1983,M
18,DUC Army  ,FRA ,1992,M
19,Trail Magazin  ,GER ,1988,M
20,Team Vibram  ,ESP ,1974,M
21,Team Garmin Adventure'  ,FRA ,1968,M
22,Furfor Running Project  ,POR ,1983,M
23,LA Sportiva  ,SWE ,1981,F
24,Autourdutrail  ,FRA ,1983,M
25,Sallanches  ,FRA ,1988,M
26,AO Charenton  ,FRA ,1986,M
27,AIX Athle Provence  ,FRA ,1983,M
28,Team Instinct / Hoka  ,FRA ,1980,M
29,Team BEN Run  ,FRA ,1977,M
30,Club Esports Altura  ,ESP ,1975,M
31,Top4Running/The North ...  ,CZE ,1997,M
32,Compressport / Altra E...  ,FRA ,1991,M
33,TOR on Running  ,FRA ,1987,F
34,"Hoka &Amp, Tap  ",USA ,1980,M
35,Saint Gervais - Guidetti  ,FRA ,1990,M
36,Team Biberli / Caprico...  ,SUI ,1982,F
37,GGM Team  ,ESP ,1989,M
38,Nouainville  ,FRA ,1982,M
39,OPR  ,ESP ,1983,M
40,Kailas International Team  ,FRA ,1990,M
41,Dynafit  ,GER ,1986,M
42,WAA Ultra  ,FRA ,1984,F
43,Casquette Verte  ,FRA ,1991,M
44,MAC Sport  ,FRA ,1989,F
45,Team TSL  ,FRA ,1989,M
46,Altra - Uglow  ,ROU ,1989,M
47,Run IN Rance  ,FRA ,1988,M
48,Arudy  ,FRA ,1982,M
49,Espuna Trail Alhama  ,ESP ,1979,M
50,Strasbourg  ,FRA ,1988,M
51,IN Tartiflette WE Trust  ,FRA ,1974,M
52,ON  ,USA ,1992,F
53,Zug  ,SUI ,1982,M
54,Tours 'N Aventure  ,FRA ,1983,M
55,Kinetik Adrenalink  ,FRA ,1984,M
56,Thônes  ,AUS ,1977,M
57,C.E. Trail Tarraco  ,FIN ,1976,M
58,Runsport.Cz/Salomon  ,CZE ,1989,M
59,Asics  ,ESP ,1996,F
60,Columbia  ,IRL ,1968,M
61,"MUD &Amp, Snow Trailteam  ",ITA ,1988,M
62,Tuesday Trails  ,RSA ,1977,M
63,Cuignières  ,FRA ,1986,M
64,Fartleck  ,BEL ,1983,M
65,Rochestown  ,FRA ,1982,M
66,Moscow  ,RUS ,1974,M
67,Uppsala  ,SWE ,1968,M
68,Atletismo Torrelavega  ,ESP ,1973,M
