Year,Rank,Time,"Surname, first name "
2019,1,20:19:07 h ," Capell Gil, Pau"
2019,2,21:07:56 h ," Thevenard, Xavier"
2019,3,21:48:04 h ," Hawker, Scott"
2019,4,22:04:29 h ," Owens, Tom"
2019,5,22:35:15 h ," Symonds, Andrew"
2019,6,22:47:47 h ," Lopez Iturralde, Joaquin Andres"
2019,6,22:47:47 h ," Wong, Ho-Chung"
2019,8,23:00:12 h ," Obara, Masatoshi"
2019,9,23:16:03 h ," Dominguez Ledo, Javier"
2019,9,23:16:03 h ," Grangier, Germain"
2019,11,23:21:17 h ," Luo, Can-Hua"
2019,12,23:38:44 h ," Kern, Martin"
2019,13,23:41:28 h ," Beauxis, Guillaume"
2019,14,23:59:49 h ," Ruiz Oller, Lluis"
2019,15,24:03:53 h ," Jones, Harry"
2019,16,24:10:39 h ," Jimenez, Moises"
2019,17,24:20:45 h ," Krah, Matthias"
2019,18,24:26:28 h ," Court, Sylvain"
2019,19,24:27:59 h ," Schlarb, Jason"
2019,20,24:29:19 h ," Sousa Goncalves Freitas, Francisco Avelino"
2019,21,24:34:26 h ," Dauwalter, Courtney"
2019,22,24:40:52 h ," Rovera, Rene"
2019,23,24:44:27 h ," Rouanet, Renaud"
2019,24,24:53:30 h ," Giblin, Paul"
2019,25,24:55:35 h ," Parra Hernandez, Vicente Tito"
2019,26,24:59:22 h ," Jonsson, Thorbergur Ingi"
2019,27,25:01:15 h ," Buet, Sebastien"
2019,28,25:28:56 h ," Lucas, Jerome"
2019,29,25:34:12 h ," Berglund, Kristin"
2019,30,25:35:32 h ," Cori, Benoit"
2019,31,25:36:05 h ," Li, Kuo"
2019,32,25:40:28 h ," Ferrari, Ugo"
2019,32,25:40:28 h ," Guibert, Clement"
2019,34,25:41:30 h ," Maiora Elizondo, Maite"
2019,35,25:46:10 h ," Camus, Sebastien"
2019,36,25:46:46 h ," Mendoza Guil, Francisco"
2019,37,25:53:26 h ," Mityaeva, Ekaterina"
2019,38,25:58:37 h ," Larrotcha Martinez-Carrasco, Juan Jose"
2019,39,26:00:05 h ," Golea, Cedric"
2019,40,26:03:51 h ," Girard, Matthieu"
2019,41,26:05:54 h ," O'Leary, Patrick (Paddy)"
2019,42,26:08:43 h ," Dybek, Pawel"
2019,43,26:12:30 h ," Curtin, Kyle"
2019,44,26:13:32 h ," Zetenyi, Andras"
2019,45,26:26:48 h ," Pascall, Elizabeth"
2019,45,26:26:48 h ," Edouard, Simon"
2019,47,26:35:30 h ," Kiangchaipaiphana, Jantaraboon"
2019,48,26:46:08 h ," Lopez, Maximiliano"
2019,49,26:46:55 h ," Iino, Wataru"
2019,50,26:50:34 h ," Gaillard, Benoit"
2019,51,27:16:20 h ," Okunomiya, Shunsuke"
2019,52,27:17:13 h ," Keith, Eoin"
2019,53,27:17:38 h ," Fernandes Dias, Paulo Cesar"
2019,54,27:19:34 h ," Tazi, Samir"
2019,55,27:22:00 h ," Terranova, Paul"
2019,56,27:22:56 h ," Schide, Katie"
2019,57,27:26:34 h ," Viet, Vincent"
2019,58,27:27:50 h ," Pierrel, Guillaume"
2019,59,27:28:23 h ," Nickel, Thomas"
2019,60,27:28:40 h ," Semen, Xavier"
2019,61,27:28:46 h ," Fernandez, Gerome"
2019,62,27:30:36 h ," Ureta, Pablo"
2019,63,27:33:08 h ," Sapiha, Serhii"
2019,64,27:35:28 h ," Ghelfi, Ryan"
2019,65,27:39:39 h ," Rosado Batista, Paulo Sergio"
2019,66,27:43:56 h ," Hammond, Mark"
2019,67,27:48:32 h ," Delannoy, Elise"
2019,68,27:59:45 h ," Bosio, Rory"
2019,69,28:02:57 h ," Pierson, Blake"
2019,70,28:06:00 h ," Bachella, Sebastian"
2019,71,28:13:32 h ," Wermescher, Ildiko"
2019,72,28:23:35 h ," Weidman, William"
2019,73,28:25:57 h ," Guiraud, Thierry"
2019,74,28:31:45 h ," Gomes Amaral, Victor Nelson"
2019,75,28:32:23 h ," Rey Carreras, Josep Maria"
2019,76,28:33:46 h ," Helvig, Johan"
2019,77,28:35:23 h ," Avenier, Delphine"
2019,78,28:43:17 h ," Bastiaens, Wim"
2019,79,28:44:41 h ," Fabregas Ortiz, Mario"
2019,80,28:47:08 h ," Bartha, Balint"
2019,81,28:53:27 h ," Sass, Alexander"
2019,82,28:55:55 h ," McArthur, Brian"
2019,83,28:57:26 h ," Xiang, Fu-Zhao"
2019,84,29:03:47 h ," Luisier, Jean-Gregoire"
2019,85,29:10:21 h ," Ohler, Michael"
2019,86,29:11:21 h ," Winkler, Till"
2019,87,29:11:37 h ," Prot, Marko"
2019,88,29:12:16 h ," Marriage, Nick"
2019,89,29:15:40 h ," Liang, Jing"
2019,90,29:16:47 h ," Oro, Franco Hernan"
2019,91,29:16:54 h ," Cruz Bravo, Jorge Antonio"
2019,92,29:18:06 h ," Cardin, Franck"
2019,93,29:19:04 h ," Li, Jun-Feng"
