Rank,Club,Country,YOB,Gender
1,Jougne  ,FRA ,1988,M
2,CEP Romania  ,ROU ,1989,M
3,Compressport  ,ESP ,1981,M
4,Lofoten Ultraloperklubb  ,NOR ,1975,M
5,Inov-8  ,GBR ,1975,M
6,Trekking Team 007  ,LAT ,1982,M
7,Team Vibram  ,ITA ,1982,M
8,TUB  ,FRA ,1980,M
9,Trailbeard 4 BOA Runni...  ,AUT ,1981,M
10,Team Vibram  ,ESP ,1974,M
11,Chamonix  ,SWE ,1977,M
12,Fort Collins  ,USA ,1991,M
13,Salomon  ,FRA ,1987,M
14,Vallorcine  ,FRA ,1989,M
15,Helm Hill  ,GBR ,1977,M
16,Esty  ,TUN ,1981,M
17,Compressport Internati...  ,FRA ,1990,M
18,Angers  ,FRA ,1982,M
19,Team la Sportiva  ,ITA ,1987,M
20,Caen Athletic Club  ,FRA ,1975,M
21,MUR/ ACD Jardim da Serra  ,POR ,1976,M
22,Compressport  ,GBR ,1977,M
23,Columbia  ,CHN ,1987,M
24,Smac  ,FRA ,1980,M
25,Cmbm  ,FRA ,1980,M
26,Team du Caillou  ,FRA ,1983,M
27,Kulinarna Strona Mocy/...  ,POL ,1977,M
28,Run Mindful  ,USA ,1983,M
29,Cesni Team Trail  ,FRA ,1992,M
30,Pilatus Aircraft LTD  ,RSA ,1976,M
31,Trail Team Bifase  ,POR ,1989,M
32,66 North  ,ISL ,1982,M
33,Montblancteam  ,ITA ,1971,F
34,Frutigen  ,SUI ,1975,M
35,Team Vibram  ,ESP ,1974,F
36,Viking Cruises  ,FRA ,1980,M
37,Givres de NAY  ,FRA ,1973,F
38,Team Hämpi  ,GER ,1984,M
39,Zug  ,SUI ,1982,M
40,Raidlight  ,GBR ,1987,F
41,Team Grivel  ,ITA ,1974,M
42,Eatt  ,FRA ,1983,M
43,Columbia  ,ITA ,1972,F
44,Champagne Au Mont D'Or  ,FRA ,1984,M
45,Team Vibram  ,FRA ,1979,F
46,TRC Aresta  ,ESP ,1978,M
47,Delta Spedizioni  ,ITA ,1972,M
48,Ture  ,UKR ,1970,M
49,Saluzzo  ,ITA ,1983,M
50,Los Angeles  ,GBR ,1971,M
50,Jarfalla  ,SWE ,1979,M
52,Apostols de Bacus  ,ESP ,1982,M
53,Gresy Sur Aix  ,FRA ,1977,M
54,Budapest  ,HUN ,1965,F
55,Boulder  ,USA ,1992,F
56,Avientu Solorunners  ,ESP ,1974,M
57,Sofia  ,BUL ,1982,F
58,Cahm Running Conseil  ,FRA ,1984,M
59,Hong Kong  ,AUS ,1981,M
60,Largs Bay  ,NZL ,1976,M
61,Omaha  ,USA ,1986,F
62,Accenture  ,ROU ,1979,M
63,Team Trail Magazin  ,GER ,1982,M
64,Tgjj  ,CHN ,1977,M
65,the North Face RED Bull  ,BRA ,1980,F
66,Alpsxperience  ,SUI ,1984,M
67,Salmiech  ,FRA ,1984,M
68,AO Charenton  ,FRA ,1986,M
69,Hoka ONE ONE Team Finland  ,FIN ,1975,M
70,Beta Running Team  ,GBR ,1983,F
71,Esty  ,FRA ,1987,M
72,TJ Euforiabiegacza.PL  ,POL ,1980,M
73,Asj74  ,FRA ,1979,F
74,Monsanto Running Team  ,POR ,1981,M
75,Corremon Trail  ,ESP ,1981,M
76,Oargi  ,ESP ,1981,M
77,Asia Trail  ,FRA ,1977,M
78,Spirito Trail // Rabbi...  ,ITA ,1983,M
79,CAP Garonne  ,FRA ,1996,M
80,Tête D'Or Runners / CA...  ,FRA ,1987,M
81,Team Endurance Shop 13...  ,FRA ,1982,M
82,Oralklass-Amigos do Trail  ,POR ,1986,M
83,CAF Annecy  ,FRA ,1991,M
84,Burgaleses EN EL Runni...  ,ESP ,1980,M
85,Rodez  ,FRA ,1985,M
86,Claret  ,FRA ,1976,F
87,Sandnes  ,SWE ,1976,M
88,Łowce  ,POL ,1985,M
89,Blodelsheim  ,ALG ,1982,M
90,Cmbm  ,SUI ,1978,M
91,Racing Leti - Enduranc...  ,FRA ,1974,M
92,CAP Bollene  ,FRA ,1971,M
93,Compressport Internaci...  ,ESP ,1980,F
94,Richmond  ,CAN ,1982,M
95,Salomon  ,JPN ,1975,F
96,Forcarunning  ,SVK ,1972,M
97,Podistica Canalet  ,ITA ,1983,M
98,Larringes  ,FRA ,1983,M
99,Team Marguareis  ,ITA ,1972,M
100,Trailmarket Racing Team  ,ITA ,1969,M
101,Stellenbosch  ,RSA ,1987,M
102,Team Raidlight Nl-B  ,NED ,1975,F
103,Macadam07  ,FRA ,1989,M
104,LA Clinique du Coureur  ,CAN ,1974,M
105,C4 Caceres  ,ESP ,1975,M
106,Bariloche  ,ARG ,1978,M
107,Club Andino Bariloche  ,ARG ,1975,M
108,A.E.Mountain Runners D...  ,ESP ,1987,M
109,Buff PRO Team  ,BRA ,1979,F
110,Nonstop Minimalist Run...  ,ESP ,1988,M
111,La Crau  ,FRA ,1983,M
112,Triathlon Club de Geneve  ,SUI ,1981,M
113,Geneve  ,FRA ,1982,M
114,Kristiansand Lopeklubb  ,NOR ,1979,M
115,U.E.Sant Joan de les A...  ,ESP ,1977,M
116,Christchurch  ,NZL ,1979,M
117,ACF Alstom  ,FRA ,1980,M
118,Porepunkah  ,AUS ,1994,M
119,Desnivel Positivo  ,POR ,1977,M
120,Oxford University Cros...  ,NZL ,1987,M
121,CAP Endurance  ,FRA ,1974,M
122,Montseny Maasais  ,ESP ,1987,M
123,Saint Eustache  ,FRA ,1980,M
124,Jongny  ,SUI ,1993,M
125,//  ,ITA ,1966,M
126,Gryon  ,SUI ,1975,M
127,Val Thorens  ,FRA ,1979,M
