Rank,Club,Country,YOB,Gender
1,Nnormal  ,ESP ,1987,M
2,Salomon  ,FRA ,1987,M
3,Adidas Terrex / RED Bull  ,GBR ,1992,M
4,Hoka  ,USA ,1990,M
5,the North Face  ,USA ,1988,M
6,Team Asics  ,FRA ,1981,M
7,Compressport  ,FRA ,1994,M
8,Hoka / Leki / Julbo  ,SUI ,1985,M
9,Altra - Uglow  ,ROU ,1989,M
10,Hoka  ,FRA ,1990,M
11,Scott Running  ,GBR ,1981,M
12,Cmab  ,FRA ,1991,M
13,Altra/Brubeck/Scba  ,FRA ,1981,M
14,Altra  ,USA ,1987,M
15,Trakks Belgium  ,BEL ,1983,M
16,Hoka  ,USA ,1993,M
17,Villavicencio  ,COL ,1985,M
18,Casquette Verte  ,FRA ,1991,M
19,Birmingham  ,GBR ,1979,M
20,Thenorthface & Suunto  ,CHN ,1989,M
21,Team Merrell Provence ...  ,FRA ,1990,M
22,Isola 2000  ,USA ,1992,F
23,"Buff, Ultimate Direction  ",USA ,1995,M
24,Hoka  ,FRA ,1980,M
25,Hoka Garmin Team  ,POL ,1993,M
26,Team Altra  ,FRA ,1992,M
27,Team TSL  ,FRA ,1989,M
28,AO Coolers/Bigwing  ,JPN ,1992,M
29,Ferney-Voltaire  ,ITA ,1985,M
30,Columbia Europe  ,ARG ,1991,M
31,Salomon FIN  ,FIN ,1991,M
32,Slovak Ultra Trail Tea...  ,SVK ,1985,M
33,the North Face Adventu...  ,HKG ,1987,M
34,Patagonia  ,JPN ,1982,M
35,Team la Sportiva  ,ITA ,1987,M
36,Team Kinetik  ,FRA ,1983,M
37,Craft Elite Run Team  ,USA ,1988,M
38,Hoka  ,ITA ,1983,M
39,Team Endurance Shop 13  ,FRA ,1991,M
40,Salomon  ,CAN ,1990,F
41,361 Degres - la Drome  ,FRA ,1976,M
42,Salomon Swiss  ,SUI ,1977,M
43,Team Race Land - Gr33  ,ESP ,1981,M
44,Team Talon D’Achille  ,FRA ,1979,M
45,AIX Athle Provence / T...  ,FRA ,1983,M
46,Vert.Run the North Face  ,VEN ,1990,M
47,the North Face  ,USA ,1989,F
48,Green Racing Project  ,USA ,1993,M
49,Marano Vicentino  ,ITA ,1989,M
50,the North Face  ,USA ,1979,M
51,Hoka_Korea  ,KOR ,1977,M
52,Nike Trail  ,USA ,1984,M
53,LDA-RC  ,JPN ,1987,M
54,Ultimate Direction  ,USA ,1978,M
55,the North Face Adventu...  ,THA ,1985,M
56,Saint Maximin  ,FRA ,1980,M
57,San Lorenzo De El Esc...  ,ESP ,1963,M
58,les Rouilles Team Trai...  ,FRA ,1986,M
59,Scott France  ,FRA ,1985,M
60,Rrunning/Kiwami  ,FRA ,1973,F
61,Slovak Ultra Trail Team  ,SVK ,1982,M
62,Hong Kong  ,HUN ,1985,F
63,les Rouilles Team Trail  ,FRA ,1986,M
64,Inner-Fact  ,JPN ,1991,M
65,SRK Rika  ,CRO ,1977,M
66,Adidasterrex / Gauge 2...  ,GBR ,1994,F
66,Club Hacho Trail Rute  ,ESP ,1983,M
68,Club Triatlon Torrevieja  ,ESP ,1974,M
69,Freetrail Marseille  ,FRA ,1982,M
70,Gwada Run Green  ,FRA ,1978,M
71,Kabelvåg  ,NOR ,1975,M
72,Annecy  ,FRA ,1981,M
73,Rolex Sport  ,FRA ,1980,M
74,Trencacames Club de Tr...  ,ESP ,1980,M
75,Hoka  ,CHN ,1991,F
76,Giesshübl  ,AUT ,1983,M
77,Craft  ,ESP ,1979,F
78,Running Conseil Brest  ,FRA ,1975,M
79,Buff Proteam  ,POL ,1985,M
80,the North Face Adventu...  ,PHI ,1991,M
81,Team Garmin  ,FRA ,1982,M
82,LA Sportiva  ,ITA ,1977,F
83,Cape Town  ,RSA ,1985,M
84,Littleton  ,USA ,1989,M
85,Osveikals.Lv | Bored.RED  ,LAT ,1985,M
86,La Ravoire  ,FRA ,1986,M
87,Galliate  ,ITA ,1990,M
88,69160 - Tassin La Dem...  ,FRA ,1981,M
89,Sant Cugat Del Valles  ,ESP ,1988,M
90,Clapham Chasers  ,GBR ,1992,M
91,les Rouilles Team Trail  ,FRA ,1986,M
92,Trailxtrem Team  ,ESP ,1978,M
93,Bordeaux  ,FRA ,1989,M
94,Skinfit / Hoka  ,ITA ,1975,M
95,Chamonix  ,FRA ,1989,M
96,Anglet  ,FRA ,1986,M
97,Salomon Trailrunning Team  ,GER ,1979,F
98,AL Voiron  ,FRA ,1977,M
99,Attiq Team/ Biegusiem.PL  ,POL ,1985,F
100,Tignes  ,FRA ,1994,M
101,Galway  ,IRL ,1982,M
102,Trailrunstore.com  ,NED ,1992,M
103,Gudo SK  ,SWE ,1978,M
103,London  ,FRA ,1989,M
105,Toulouse  ,FRA ,1993,M
106,Running Conseil Villef...  ,FRA ,1988,M
107,Carnethy Hill Running ...  ,GBR ,1982,M
108,Lucenay  ,FRA ,1986,M
109,Salomon Switzerland  ,SUI ,1983,F
110,Beauvais  ,FRA ,1982,M
111,Enebybergs IF  ,SWE ,1976,M
112,Minneapolis  ,USA ,1992,M
113,Meaning of Movement Po...  ,USA ,1985,M
114,Team Awesome & Marijn  ,NED ,1992,M
115,Answer4  ,JPN ,1982,M
116,BIM BIM Team  ,FRA ,1988,M
117,Ashi Team  ,CHI ,1983,M
118,Brig  ,SUI ,1984,M
119,Skinfit-Hoka  ,ITA ,1978,M
120,Lugo  ,ESP ,1987,M
121,Reze  ,FRA ,1982,M
122,Salomon  ,JPN ,1975,F
123,Boavista FC Trail  ,POR ,1987,M
124,"Mill Creek, Wa  ",JPN ,1972,M
125,Team Kailas International  ,NEP ,1981,M
126,Sisport SSD ARL  ,ITA ,1979,M
127,Esher  ,GBR ,1979,M
128,Bleriot  ,FRA ,1988,M
129,Challes Les Eaux  ,FRA ,1981,M
130,Columbia  ,IRL ,1968,M
131,Les Echets  ,FRA ,1993,M
132,Brooks  ,USA ,1988,F
133,XC-Run.De Trailrunning...  ,ITA ,1980,F
134,Champ-REN  ,JPN ,1983,M
135,NA  ,FRA ,1979,M
136,Fulham / Monsanto Runn...  ,GBR ,1972,M
137,Training Experience  ,FRA ,1980,M
138,Kineosteo Sport Annecy  ,FRA ,1986,M
139,UA Societe Generale  ,FRA ,1985,M
139,Palaiseau  ,FRA ,1988,M
141,C.E Torello  ,ESP ,1989,M
142,Decathlon Bulgaria  ,BUL ,1984,M
143,Salvan  ,SUI ,1990,F
144,Ellahop  ,CZE ,1970,M
145,Salming Poland  ,POL ,1977,M
146,CAL Mingo BAR  ,ESP ,1973,M
147,les Vieux Garcons  ,FRA ,1987,M
148,Barcelona  ,ESP ,1982,M
149,Hoka  ,CHN ,1992,M
150,Kilimatrailrunning  ,CRC ,1979,M
151,Nicodis Team  ,FRA ,1983,M
152,ASD PRO Sanpietro Sanremo  ,ITA ,1985,M
153,Uglowspain-Merrell  ,ESP ,1973,M
154,"Mesa, Az  ",USA ,1984,M
155,Joliette  ,CAN ,1979,M
156,Innerfight Endurance  ,GBR ,1985,M
157,Sallanches  ,FRA ,1993,M
158,Veneux Les Sablons  ,FRA ,1984,M
159,Mures  ,FRA ,1971,M
160,Team TO2 BZH  ,FRA ,1981,M
161,Arbois  ,FRA ,1979,M
162,Skyrun  ,FRA ,1981,M
163,Team Torto  ,FRA ,1987,M
164,Correcaminos Guardo  ,ESP ,1972,M
165,Froideville  ,FRA ,1989,M
166,Ajaccio  ,FRA ,1986,M
167,Urtxintxak Hasparren  ,FRA ,1972,M
168,Denver  ,USA ,1980,M
169,Carphial Teror Trail  ,ESP ,1980,M
170,Saint-Malo Sports Loisirs  ,FRA ,1982,M
171,Perfect Trail  ,FRA ,1988,M
